"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -3.581346633,      -3.698349656,      -4.145839487,      -2.984969489,             0.448,      0.2407162756,      0.1401739537,                 0,                 0,                 0,     0.01642535773,       0.237601113,       0.145391794,                 0,      0.5823202164
          0,           0,           1,      -3.833736454,      -3.708488352,      -3.735662347,      -3.222809692,             0.448,     0.09245166439,     0.03009344329,                 0,                 0,                 0,   -0.006982717687,     0.09177317839,     0.03210310429,                 0,      0.3255046135
          0,           0,           2,        -3.7685914,      -3.680329828,      -3.700696365,      -3.170203415,             0.448,      0.0681145255,     0.03872367996,                 0,                 0,                 0,   -0.008467950602,     0.06725356346,     0.04020037532,                 0,      0.5685084008
          0,           0,           3,      -3.714040186,      -3.724734145,      -3.702056837,      -3.121669295,             0.448,     0.08299578345,     0.07132476028,                 0,                 0,                 0,   -0.006376450987,     0.08142009126,      0.0731183304,                 0,      0.8593781192
          0,           0,           4,       -3.66335352,      -3.692493872,      -3.668822498,      -3.074183815,             0.448,     0.06273099882,      0.0668287906,                 0,                 0,                 0,    -0.01011009108,     0.06125820816,     0.06818135669,                 0,       1.065323235
          0,           0,           5,      -3.658609712,      -3.669989382,      -3.662073303,      -3.073535845,             0.448,     0.04948386671,     0.06248282861,                 0,                 0,                 0,    -0.01493901722,     0.04810903517,     0.06354744425,                 0,       1.262690908
          0,           0,           6,      -3.655039852,      -3.788651034,      -3.699968992,      -3.076449996,             0.448,     0.04547720228,     0.06121882055,                 0,                 0,                 0,    -0.01873424888,      0.0441308984,     0.06219633207,                 0,       1.346143067
          0,           0,           7,      -3.659256134,      -3.791442932,      -3.690717313,      -3.082863439,             0.448,      0.0409497731,     0.05844554095,                 0,                 0,                 0,    -0.02143347192,     0.03966504541,     0.05932494708,                 0,       1.427249445
          0,           0,           8,      -3.642208298,      -3.714630208,      -3.704560124,      -3.064820358,             0.448,     0.03524230873,     0.05618183923,                 0,                 0,                 0,    -0.02315701779,     0.03400832165,     0.05693727638,                 0,       1.594158875
          0,           0,           9,      -3.656733551,      -3.751822883,      -3.710604676,      -3.082887327,             0.448,     0.03054224031,     0.05473381146,                 0,                 0,                 0,    -0.02422666677,     0.02934096028,     0.05538706176,                 0,       1.792069308
          0,           0,          10,      -3.663400394,      -3.808583778,      -3.737969037,      -3.093557762,             0.448,     0.02724249506,     0.05377060107,                 0,                 0,                 0,    -0.02477282628,      0.0260630126,     0.05435209702,                 0,       1.973776666
          0,           0,          11,      -3.669556921,      -3.834469929,      -3.762274516,      -3.102033104,             0.448,     0.02421260903,     0.05305904251,                 0,                 0,                 0,    -0.02490300723,     0.02304937018,     0.05357461117,                 0,       2.191380633
          0,           0,          12,      -3.674695991,      -3.846382052,      -3.773040288,      -3.107704512,             0.448,     0.02096262752,     0.05217347047,                 0,                 0,                 0,    -0.02500589673,     0.01981948072,     0.05261835191,                 0,       2.488880291
          0,           0,          13,      -3.677928226,      -3.852403976,      -3.782508086,      -3.109536404,             0.448,     0.01776691444,     0.05131284353,                 0,                 0,                 0,    -0.02521991566,     0.01664330261,     0.05168821566,                 0,       2.888112266
